
2025/01/19 (23:06:04) | ===> btop++ v.1.4.0
2025/01/19 (23:06:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (23:18:41) | ===> btop++ v.1.4.0
2025/01/19 (23:18:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (12:04:26) | ===> btop++ v.1.4.0
2025/01/28 (12:04:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (12:12:20) | ===> btop++ v.1.4.0
2025/01/28 (12:12:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:43:20) | ===> btop++ v.1.4.0
2025/02/03 (22:43:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:47:13) | ===> btop++ v.1.4.0
2025/02/03 (22:47:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:48:12) | ===> btop++ v.1.4.0
2025/02/03 (22:48:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (16:25:12) | ===> btop++ v.1.4.0
2025/02/11 (16:25:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (20:59:07) | ===> btop++ v.1.4.0
2025/02/11 (20:59:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:45:07) | ===> btop++ v.1.4.0
2025/02/12 (11:45:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (14:42:04) | ===> btop++ v.1.4.0
2025/02/12 (14:42:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (14:26:07) | ===> btop++ v.1.4.0
2025/02/15 (14:26:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (13:29:46) | ===> btop++ v.1.4.0
2025/02/16 (13:29:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (09:33:33) | ===> btop++ v.1.4.0
2025/03/31 (09:33:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (09:41:54) | ===> btop++ v.1.4.0
2025/03/31 (09:41:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (11:54:42) | ===> btop++ v.1.4.0
2025/03/31 (11:54:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (09:41:31) | ===> btop++ v.1.4.0
2025/04/09 (09:41:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (11:37:13) | ===> btop++ v.1.4.0
2025/04/15 (11:37:13) | WARNING: Intel GPU: Failed to initialize PMU
